Power	Flavor Text	Power Set	Prerequisites	Action	Trigger	Duration	Range	Cost	Effect	Rank
Copy Ability	The character duplicates another character's ability.	Power Control	None	Standard	None	Concentration	None	0	The character picks one ability score of another character within 10 spaces and duplicates it. They now use that ability score in place of their own.	1
Copy Trait	The character duplicates another character's trait.	Power Control	None	Standard	None	Concentration	None	0	The character picks one trait another character within 10 spaces has and duplicates it. They can now use it as if it was always theirs.	1
Dampen Power	The character tamps down another character's power.	Power Control	None	Standard	None	Instant	None	V	The character picks one power from another character within 20 spaces and makes an Ego attack against them. On a success, they tamp the power down.If the power has ranges or effective areas or durations,these are halved. If the power affects a damage multiplier,subtract 1 from the effect. The power can no longer enjoy Fantastic successes. If the power has a Focus cost, the character must also pay that cost to dampen it.	1
Defense Stance	The character enters a fluid defensive stance, hands poised to parry and counterattack.	Martial Arts	None	Standard	None	Concentration	None	0	Any close attacks made against the character have trouble until they are successfully attacked in this combat.	1
Discipline 1	The character works to hone their power.	None	None	None	None	Instant	None	0	The character adds +1 to their Ego damage multiplier,and they gain a +1 bonus to Ego checks other than attacks.	1
Disguise	The character appears to be someone else.	None	None	Standard	None	Instant	None	0	The character instantly alters their appearance so that they appear to be someone else. The target number for anyone trying to see through the disguise is the character's Ego defense. If the character is impersonating someone known to the other person, that person has an edge.	1
Double Tap	To be twice as sure.	Ranged weapons	None	Standard	None	Instant	None	0	The character makes a ranged attack against an enemy within 2 spaces. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage and is bleeding.	1
Elemental Burst	The character ifres a burst of their element.	Elemental Control	None	Standard	None	Instant	10	0	The character makes a ranged attack against an enemy in line of sight. If the attack is a success, it inflicts regular damage. On a Fantastic success, the enemy takes double damage instead and the elemental type’s special effect.	1
Environmental Protection	Environmental effects don't bother the character.	None	None	None	None	Permanent	None	0	The character is not harmed by intense cold or heat, the pressure of the deep seas or the intense radiation and vacuum of space.The player can choose any or all of these protections, as best ifts with the character concept.	1
ESP	The character can sense the presence of others.	Telepathy	None	Standard	None	Concentration	None	0	The character can reach out with their mind to sense the presence of others within 100 spaces per rank. This tells them the person’s location and general status. It can also identify if they have super-powers or not. If a target or targets wish to remain undetected, the character must make a Logic check and compare it against each target's Vigilance defense. If they succeed, they sense the target. On a Fantastic success, they can also identify the source of any powers the target has.	1
Evasion	The character can dodge ifsts quickly.	None	None	None	None	Permanent	None	0	The character can use their Agility defense score against Melee attacks too.	1
Extended Reach 1	The character's reach grows.	Plasticity	None	None	None	Permanent	None	0	The character's reach quadruples.	1
Fast Attacks	The character's weapons lash out!	Melee Weapons	None	Standard	None	Instant	None	0	The character splits their attack to make two close attacks against separate targets within reach (or they can focus a single attack on a single target). Make a single Melee check and compare it to the targets’ Melee defenses. On a success, the affected target takes half regular damage. On a Fantastic success, the affected target takes full damage, and the character can make a bonus attack with this power against any target within reach, with the same effect.	1
Fast Strikes	The character unleashes a flurry of strikes.	Martial Arts	None	Standard	None	Instant	None	0	The character splits their attack to make two close attacks against separate targets within reach (or they can focus a single attack on a single target). Make a single Melee check and compare it to the targets’ Melee defenses. On a success, the affected target takes half regular damage. On a Fantastic success, the affected target takes full damage.	1
Flexible Bones 1	The character's skeleton is rubbery.	Plasticity	None	None	None	Permanent	None	0	The character gains Health Damage Reduction 1. They also have an edge on Agility checks for contortion and escape.	1
Flexible Fingers	The character can turn their ifngers and hands into whatever tool they need.	Plasticity	None	None	None	Permanent	None	0	With a standard action, the character can automatically pick any lock that requires a physical key. They can also shape their hands to form almost any other kind of simple tool.	1
Grow 1	The character sizes up!	Resize	None	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can grow up to huge size. They can return to their normal size at will.	1
Grow 2	The character becomes even bigger!	Resize	Grow 1	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can grow up to gigantic size. They can return to their normal size at will.	1
Grow 3	The character can be the size of a house!	Resize	Grow 2	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can grow up to titanic size. They can return to their normal size at will.	1
Grow 4	The character can tackle kaiju!	Resize	Grow 3	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can grow up to gargantuan size. They can return to their normal size at will.	1
Healing Factor	The character heals amazingly fast.	None	None	None	None	Permanent	None	0	At the end of the character's turn, they regain Health equal to their Resilience. (This works outside of combat too, quickly bringing them back to full Health.)	1
Heightened Senses 1	The character has superior senses.	None	None	None	None	Permanent	None	0	The character can sense things roughly twice as far away as normal. They also have an edge on Vigilance checks to perceive things, and enemies have trouble on checks they make to sneak past the character.	1
Heightened Senses 2	The character has senses as sharp as radar.	None	Heightened Senses 1	None	None	Permanent	None	0	The character can sense things roughly four times as far away as normal. Their senses are so sharp that they can use some of them to compensate for the loss of others(say, if blinded or deafened). They can even listen to the heartbeat of a person in the same room to see if they are lying—although this is as reliable as a traditional lie detector: far from 100% and not admissible in court. They also have a double edge on Vigilance checks to perceive things, and enemies have double trouble on checks they make to sneak past the character.	1
Hit & Run	The character hits hard and keeps moving!	Melee Weapons	None	Standard	None	Instant	None	0	The character makes a close attack with an edge on an enemy. If the attack is a success, the enemy takes regular damage, and the character can make an additional movement up to half their Run Speed for free. On a Fantastic success, the enemy takes double damage and suffers the weapon's special effect.	1
Iconic Weapon	Better keep this handy	None	None	None	None	Permanent	None	0	 The character is known for owning and using a unique and powerful weapon, like Mjolnir (Thor's hammer) or Captain America’s shield. The Narrator must approve the details of this weapon. This power can be taken more than once, but each time must be with a different weapon.	1
Illumination	The character creates a bright light.	Illusion	None	Standard	None	Instant	None	0	The character illuminates one object or point in line of sight, within 50 spaces, with bright light. The character can maintain concentration on the effect even if they move out of range or line of sight.	1
Immovable	Nobody pushes the character around.	Shield Bearer	None	Reaction	The character is knocked back or knocked prone.	Instant	None	0	For every point of Melee defense the character has,they can reduce knockback by 1 space.	1
Immovable	Nobody pushes the character around.	Super-Strength	None	Reaction	The character is knocked back or knocked prone.	Instant	None	0	For every point of Melee defense the character has,they can reduce knockback by 1 space.	1
Inspiration	The character's words inspire their allies.	None	None	Standard	None	1 Round	None	0	The character inspires an ally in earshot. The allygains an edge on all action checks until the start of the character's next turn.	1
Integrity	The character can think their way through.	None	None	None	None	Permanent	None	0	The character can use their Logic defense score against Ego attacks too.	1
Keep Moving	The character can keep allies moving under ifre.	Tactics	None	Reaction	An ally in line of sight and earshot is demoralized or stunned.	Instant	None	0	The demoralized or stunned condition ends.	1
Levitation	The character can hover and move.	Telekinesis	None	None	None	Permanent	None	0	The character can move through the air in any direction at their Run Speed.	1
Machine Telepathy	The character can communicate with machines with their mind.	Telepathy	None	Standard	None	Concentration	None	0	The character can communicate telepathically with one machine at a time, and they must have seen the machine before. The communication can be verbal, visual or even more complex, such as imparting location information. There is no limit to the distance of the communication, as long as the character and the machine are in the same dimension.Simple machines do not have much to offer in the way of conversation, but they are also generally compliant with requests. Complex machines—like computers, smartphones and other electronics—are also often compliant, but if they are secured in any way, they usually refuse to communicate with strangers. A Logic check can get the character past such security, and the Narrator should set the target number according to the strength of the security.	1
Mental Punch	The character can blast a foe’s mind in melee.	Telepathy	None	Standard	None	Instant	None	0	The character makes a Melee attack against a target. If the attack is a success, it inflicts regular Focus damage (instead of Health damage). On a Fantastic success, the target takes double damage instead and is stunned for one round.	1
Mighty 1	The character is superhumanly strong.	None	None	None	None	Permanent	None	0	Treat the character as one size bigger for lifting, carrying, swinging and throwing things. They also add +1 to their Melee damage multiplier, and they gain a +1 bonus to Melee checks other than attacks.	1
Mind Reading	The character can read thoughts.	Telepathy	Telepathic Link	Standard	None	1 Round	None	0	The character can read the thoughts of a single person with whom they have established a Telepathic Link. This requires a Logic check against the target's Logic defense. On a success, the character can read the target's surface thoughts. On a Fantastic success, the character can ask a single simple question and get the answer from the target's mind.	1
Penance Stare	The character can punish the wicked with their gaze.	Magic	Cursed	Standard	None	Instant	None	5	The character makes an Ego attack against a target character within 3 spaces per rank. If it’s a success, the target takes Focus damage. On a Fantastic success, the target takes double damage and is paralyzed for one round. Characters with the Heroic tag take half the listed damage from this power in either case. If a target is shattered by this power, they can recover, but they come back in one of two ways. Either they are cleansed of their sins and ready to make a new start with a clean slate, or their emotions are drained from them permanently. How this works in each case is up to the Narrator.	1
Phase Self	The character can become as intangible as a ghost.	Phasing	None	Standard	None	Concentration	None	0	The character (and their clothing) becomes intangible and can move through anything as if it wasn't there. Nothing can physically affect them, nor can they affect anything else that is not phasing along with them.	1
Reinforced Skeleton	The character has a skeleton replaced or covered in some material.	None	None	None	None	Permanent	None	0	The character gains health reduction 1.	1
Riposte	Seeing the enemy is off balance the character strikes back.	Melee Weapons	None	Reaction	An enemy makes a close attack against the character that fails.	Instant	None	0	The character makes a close attack on an enemy who just missed them. If the attack is a success, the enemy takes normal damage. On a Fantastic success, the enemy takes double damage and suffers the weapons special effect.	1
Rubber Neck	The character can lengthen and twist their neck.	Plasticity	Flexible Bones 1, Extended Reach 1	None	None	Permanent	None	0	The character can move their head away from their body, up to their reach, to establish a line of sight to a target.	1
Sense Sins	The character can look into a person’s soul.	Magic	Cursed	Standard	None	Instant	None	0	The character looks into a target's eyes and makes an Ego check against the target's Ego defense. On a success, the character can sense what sorts of horrible things the target has done. On a Fantastic success, they can sense what sorts of horrible things the target intends to do in the immediate future.	1
Sense Supernatural	The character can sense the supernatural.	Magic	None	Standard	None	Concentration	None	0	The character can reach out with their mind to sense the presence of supernatural people, places or things within 100 spaces per rank. This tells them the location of the supernatural thing and its general status. If a target or targets wish to remain undetected, the character must make an Ego check and compare it against each target's Vigilance defense. If they succeed, they sense the target. On a Fantastic success, they can also identify if the target is cursed or demonic.	1
Shield 1	The character wields a personal shield.	Shield Bearer	None	Standard/Reaction	The character is attacked.	Concentration	None	0	The character gains Health Damage Reduction 1.	1
Shield Bash	The character bashes a foe with their shield.	Shield Bearer	None	Standard	None	Instant	None	0	The character makes a close attack on an enemy within their reach. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage and is knocked prone.	1
Shield Deflection	The character uses their shield to deflect attacks.	Shield Bearer	None	Reaction	The character is the target of an attack against their Agility defense.	Instant	None	0	The attack has trouble.	1
Shrink 1	The character thinks small.	Resize	None	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can shrink down to little size. They can return to their normal size at will.	1
Shrink 2	The character becomes even smaller!	Resize	Shrink 1	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can shrink down to tiny size. They can return to their normal size at will.	1
Shrink 3	The character is smaller than an action ifgure.	Resize	Shrink 2	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can shrink down to miniature size. They can return to their normal size at will.	1
Shrink 4	The character is so small that they're hard to see.	Resize	Shrink 3	Standard/Reaction	The character is attacked.	Permanent	None	0	The character can shrink down to microscopic size. They can return to their normal size at will.	1
Slip Free	The character is impossible to restrain.	Plasticity	None	Reaction	The character is grabbed or pinned.	Instant	None	0	The character is not grabbed or pinned.	1
Slow-Motion Dodge	Time seems to slow down for the character, making it easy to dodge enemy attacks.	None	None	Reaction	An enemy makes an attack against the character's Agility defense.	Instant	None	0	The enemy has trouble on the attack.	1
Snap Shooting	The character shoots from the hip with deadly speed.	Ranged weapons	None	Standard	None	Instant	None	0	The character splits their attack to make two ranged attacks against separate targets (or they can focus a single attack on a single target). Make a single Agility check and compare it to the targets’ Agility defenses. On a success, an affected target takes half regular damage. On a Fantastic success, an affected target takes full damage and is bleeding.	1
Spider-Dodge	The character dodges attacks with a spider-like scuttle.	Spider-Powers	None	Reaction	Someone makes an Agility attack against the character.	Instant	None	0	The attacker has trouble on the attack. If the attack misses, the character can leap in any direction at their Jump Speed.	1
Spider-Pheromones	The character exudes pheromones that affect those nearby.	Spider-Powers	None	Standard	None	Instant	5	0	The character has an edge on Ego (intimidation) checks against people who are not attracted to their gender. They also have an edge on Ego (persuasion) checks against people who are attracted to their gender.	1
Spider-Sense	The character has a sense of danger that tingles when threats are near.	Spider-Powers	None	None	None	Permanent	None	0	The character has an edge on initiative checks and on Vigilance checks to perceive danger. Enemies have trouble on Agility checks against the character's Vigilance defense. The character also gains a permanent +2 bonus to their Agility defense.	1
Spider-Strike	The character strikes in a blur of punches, kicks and webbing.	Spider-Powers	None	Standard	None	Instant	None	0	The character splits their attack to make two close attacks against separate targets within reach (or they can focus a single attack on a single target). Make a single Melee check and compare it to the targets’ Melee defenses. On a success, the affected target takes half regular damage. On a Fantastic success, the affected target takes full damage and is paralyzed by webbing. Breaking free from webbing requires a Melee check (target number 20). After the attacks, the character may run, jump or climb at half speed for free.	1
Static Illusion	By manipulating visual light, the character creates a realistic hologram.	Illusion	Illumination	Standard	None	Concentration	None	5	The character creates a visual-only illusion anywhere in line of sight, within 50 spaces. The illusion can be of anything up to three sizes larger than the character, but it must be static. The character breaks concentration if they move beyond 50 spaces from the illusion or lose line of sight of it.	1
Sturdy 1	The character has protection from physical damage.	None	None	None	None	Permanent	None	0	The character's body is so sturdy that they have Health Damage Reduction 1. If this power stems from armor or anything else removable—like Iron Man’s armor—the character should apply the Tech Reliance trait to it.	1
Suppressive Fire	The character forces their foes to keep their heads down.	Ranged weapons	None	Standard	None	Instant	None	0	The character makes an Agility attack against a target's Vigilance defense. If the attack is a success, apply Health Damage Reduction normally. Any damage taken is then applied to the target's Focus instead. If it’s a Fantastic success, the damage is doubled, and if the target takes any Focus damage, they are stunned for one round.	1
Telekinetic Manipulation	The character can handle physical things with their mind.	Telekinesis	None	Standard	None	Concentration	V	0	The character can manipulate objects in their line of sight with their mind. The maximum range for this is 5 spaces times the character's rank. If someone tries to prevent the character from taking control of an object, the character makes a Logic check against the opponent's Agility defense.	1
Telepathic Link	The character can speak with another telepathically.	Telepathy	None	Standard	None	Concentration	None	0	The character can communicate telepathically with one person at a time, and they must have met or seen the other person before. The communication can be verbal, visual or even more complex, such as imparting location information. There is no limit to the distance of the communication, as long as the character and the target are in the same dimension. If the other person does not wish to speak with the character, the target can automatically tune them out. To force a telepathic link, the character can make a Logic check against the target's Vigilance defense. On a failure, the character cannot attempt to communicate with the target in this way for the rest of the day. On a success, the character can communicate with the target for one round. On a Fantastic success, the target cannot shut the character out for the rest of the day.	1
Teleport 1	The character teleports someplace else.	Teleportation	Blink	Standard/Movement	None	Instant	None	0	The character teleports into a clear space they can see or have been to, up to 10 times their rank in spaces away. Outside of combat, they can teleport up to 100 times their rank in spaces away.	1
Teleport 2	The character teleports great distances.	Teleportation	Teleport 1	Standard/Movement	None	Instant	None	0	Outside of combat, the character can teleport up to 1,000 times their rank in spaces away.	1
Thunder	The character causes a deafening crack of thunder.	Weather Control	None	Standard	None	Instant	None	0	The character makes an Ego check and compares that against the Resilience defense of every character within 10 spaces. Any character the attack succeeds against is deafened. On a Fantastic success, the character is also stunned for one round.	1
Uncanny 1	The character has protection against mental assaults.	None	None	None	None	Permanent	None	0	Any damage multiplier for attacks against the character's Focus is reduced by 1. If this power is part of a battle suit, the power is integrated into a removable helmet. Otherwise, it’s a part of the character. If this power stems from armor or anything else removable—like Magneto's helmet—the character should apply the Tech Reliance trait to it.	1
Venom Blast	The character unleashes a bioelectric shock.	Spider-Powers	None	Standard	None	Instant	5	0	The character makes a ranged attack. If the attack is a success, it does regular damage. On a Fantastic success, the attack does double damage, and if the target suffers any actual damage, they are also stunned for one round.	1
Vicious Attack	The character strikes a felling blow.	Melee Weapons	None	Standard	None	Instant	None	0	The character makes a close attack. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage and suffers the weapon's special effect.	1
Wall Crawling	The character can climb like a spider.	Spider-Powers	None	None	None	Permanent	None	0	The character can climb at a speed equal to their regular speed. Under normal conditions, they never lose their grip, no matter the angle of the surface.	1
Weapons Blazing	The character blazes two foes at once	Ranged weapons	Snap Shooting	Standard	None	Instant	None	0	The character splits their attack to make two ranged attacks against separate targets (or they can focus a single attack on a single target) Make a single Agility check and compare it to the targets’ Agility defenses. On a success, the affected target takes half regular damage. On a Fantastic success, the affected target takes full damage, and the character can make a bonus attack with this power against any availity target with the same effect	1
Weather Chill	The character cools things down	Weather Control	None	Standard	None	Concentration	None	0	The temperature in an area roughly a mile across falls as low as 0 degrees Fahrenheit.	1
Weather Warm	The character heats things up	Weather Control	None	Standard	None	Concentration	None	0	The temperature in an area roughly a mile across rises as high as 100 degrees Fahrenheit.	1
Webcasting	The character can snare a target in a web	Spider-Powers	None	Standard	None	Instant	None	10	The character makes a ranged attack on an enemy If the attack is a success, the web paralyzes the enemy. On a Fantastic success, the enemy is also pinned. Breaking free from webbing requires a Melee check (target number 20).	1
Wisdom	The character not only has brains, but knows how to use them.	None	None	None	None	Permanent	None	0	The character can use their Ego defense score against Logic attacks too.	1
Wisecracker	The character irritates the foe with sharp wit.	None	None	Reaction	The character succeeds an attack against an enemy in earshot, or an enemy within earshot fails an attack on them.	Instant	None	0	The character cracks a joke at the enemy's expense. Make an Ego attack. On a success do regular focus damage. On a Fantastic Success the damage is doubled and the target is stunned for one round.	1
Accuracy 2	The character is a sharpshooter.	None	Accuracy 1, Rank 2	None	None	Permanent	None	0	The character adds +2 to their Agility damage multiplier, and they gain a +2 bonus to Ability checks other than attacks.	2
Animated Illusion	By manipulating visual light, the character creates a moving hologram.	Illusion	Static Illusion, Rank 2	Standard	None	Concentration	None	5	The character creates a visual-only illusion anywhere in line of sight, within 50 spaces. The illusion can be anything up to four sizes larger than the character,and it can move freely within its limits. The character breaks concentration if they move beyond 50 spaces from the illusion or lose line of sight to it.	2
Astral Form	The character can enter the Astral Plane.	Magic	Sorcerous, Rank 2	Standard	None	Concentration	None	5	The character can project an avatar into the Astral Plane, leaving their physical body in a deep trance in the real world, where it is vulnerable to attack. While in the Astral Plane, they can interact with other characters in the Astral Plane, but they are intangible, invisible and generally undetectable in the real world. However, they can sense things in the real world. If the character is Rank 4 or higher, they can also take on a transparent form that can be seen in the real world.While in the Astral Plane, the character can fly, and in combat, their Flight Speed is equal to their rank times their Run Speed. Outside of combat, they can move 10 times as fast.	2
Battle Plan	The character always has a plan.	Tactics	Inspiration, Rank 2	Standard	None	1 Round	None	10	The character inspires one or more allies of their choice in earshot, up to the character's Vigilance. Inspired Allies gain an edge on all action checks until the start of the character's next turn.	2
Blazing-Fast Fists	The character can attack superfast.	Super-Speed	Rank 2	None	None	Permanent	None	0	The character has an edge on all Melee attacks.	2
Blink Barrage	The character teleports rapidly around an opponent.	Teleportation	Blink, Rank 2	Standard/Movement	None	Instant	None	0	The character teleports several times in quick succession and winds up in a clear space they can see or have been to, up to their rank in spaces away. Any attacks have trouble against them for one round.	2
Blur	The character moves like a blur!	Super-Speed	Speed Run 2, Rank 2	Standard/Reaction	The character is attacked.	1 Round	None	5	Any attacks against the character have trouble.	2
Bolts of Balthakk	The character ifres enchanted bots of electricity from their ifngers.	Magic	Sorcerous, Rank 2	Standard	None	Instant	20	5	The character makes an Ego check with an edge against the Agility defense of a target in their line of sight. For this attack, add +1 to the character's Agility Damage bonus for every 2 points of Focus they spend. on a success, an affected target takes that total damage. on a Fantastic success, an affected target takes double that total damage and is stunned for one round.	2
Borrow Senses	The character can use another person's senses.	Telepathy	Telepathic Link, Rank 2	Standard	None	Concentration	None	5	The character can use the full senses of someone or something with whom they have established a telepathic link or bond. While they do, they retain the use of their own senses too.	2
Bounce Back	The character bounces back from even the hardest falls.	Plasticity	Flexible Bones 1, Slip Free, Rank 2	Reaction	The character takes damage from a fall or is knocked prone.	Instant	None	5	The fall doesn't damage the character. If they're prone, they stand up. If they'd like, they can also jump a number of spaces, up to their Run Speed.	2
Brace for Impact	The character mentally toughens themselves for a ifght.	Martial Arts	Do This All Day, Rank 2	Reaction	An enemy deals physical damage to the character.	Instant	None	5	For every point of Focus spent, the character can ignore 1 point of Health damage dealt by the attack.	2
Brain Drain	The character consumes the energies of another.	Magic	Rank 2	Reaction	The target is grabbed.	Instant	None	5	The character makes an Ego attack against the target's Vigilance. If it succeeds, the target takes regular Focus damage, and the character heals half that much Focus for themselves. On a Fantastic success, the character heals their full Focus damage instead.	2
Brilliance 2	Everything makes more sense to the character.	None	Brilliance 1, Rank 2	None	None	Permanent	None	0	The character adds +2 to their Logic damage multiplier, and they gain a +2 bonus to Logic checks other than attacks.	2
Bump Power	The character bumps up another character's power.	Power Control	Rank 2	Standard	None	Concentration	None	5	The character picks one power from another character within 5 spaces and boosts it. If the power has ranges or effective areas or durations, these are doubled. If the power affects a damage multiplier, add 1 to the effect. Any effects that normally happen with a Fantastic Success automatically happen on any success,not just a Fantastic one.If the power has a cost, the character must pay it as well, with a minimum of 5 Focus.	2
Chain Strikes	The character unleashes a hail of strikes.	Martial Arts	Fast Strikes, Rank 2	Standard	None	Instant	None	5	The character makes a close attack with an edge. If The attack is a success, the enemy takes regular damage.On a Fantastic success, the character can also make an additional Chain Strike.	2
Change of Plans	The character thinks of a better way.	Tactics	Inspiration, Rank 2	Reaction	An ally has trouble on an action check.	1 Round	None	5	The ally gains an edge on that action check.	2
Cloak	The character makes people believe they're not there.	Telepathy	Telepathic Link, Rank 2	Standard	None	Concentration	None	5	The character uses a mirage to block their presence from the minds of people within 20 spaces perrank. Cameras (for instance) can still record them, but when people look in the character's direction, they see nothing there.The target number for anyone trying to detect the character is the character's Logic defense.	2
Clone Moves	The character duplicates another character's combat moves.	Power Control	Rank 2	Standard	None	Concentration	None	5	The character picks another character within 10 spaces and in their line of sight and duplicates all their powers that could be selected with the Special Training Origin. They can now use those powers as if they were always there. If the copied powers have costs, the character must pay the highest of them, or a minimum of 5 Focus.	2
Combat Trickery	The character is a tricky one!	None	Rank 2	Reaction	The character makes an attack.	Instant	None	5	Once per battle, when the character is attacking targets of equal or higher rank, the character automatically rolls a 1 on their Marvel die, and that die cannot be affected by trouble. If the character is attacking multiple targets, all the targets must be of equal or higher rank.	2
Command	The character forces someone to follow an order.	Telepathy	Telepathic Link, Rank 2	Standard	None	1 Round	None	5	The character gives an order to a target with whom they've established a Telepathic Link. The character makes a Logic check against the target’s Logic defense.On a success, the target complies with the order. On a Fantastic success, the character gains an edge the next time they use this power against this same target.The command must be something that can be completed in a single action. If it involves harming someone, the character has trouble on the check. If it would cause the target to harm themselves, the character has double trouble on the check.	2
Control Weather 1	The character can make it rain.	Weather Control	Rank 2	Standard	None	Concentration	None	0	It starts to rain in an area up to 5 miles across times the character's rank, centered on the character. All Ranges are cut in half. Movement is not affected.	2
Copy Power	The character duplicates another character's power.	Power Control	Rank 2	Standard	None	Concentration	None	5	The character picks one power a target within 10 spaces has and duplicates it. They can now use it as if it was always theirs. When the character uses such a power,they must pay any cost normally as well.	2
Counter Strike Technique	The character counters an enemy's strike with one of their own.	Martial Arts	Attack Stance, Rank 2	Reaction	 While Attack Stance is active, a close attack against the character does damage.	Instant	None	5	The character deals half the attacker's regular damage to the attacker.	2
Crushing Grip	The character seizes an enemy and squeezes hard.	Martial Arts	Rank 2	Reaction	The target is grabbed.	Instant	None	5	The character makes a Melee attack against thegrabbed target's Resilience defense. If it’s a success, the target takes regular damage. On a Fantastic success, the target takes double damage instead and is pinned.	2
Crushing Grip	The character seizes an enemy and squeezes hard.	Super-Strength	Rank 2	Reaction	The target is grabbed.	Instant	None	5	The character makes a Melee attack against thegrabbed target's Resilience defense. If it’s a success, the target takes regular damage. On a Fantastic success, the target takes double damage instead and is pinned.	2
Darkness	The targets become shrouded in unnatural darkness.	Illusion	Illumination, Rank 2	Standard	None	Concentration	None	5	An area up to 5 spaces wide per the character's rank—centered on anything the character wishes, within 50 spaces—is iflled with inky darkness. Those inside it cannot see anything, and no lights work within it except those generated by powers. The character must remain within 50 spaces of the affected area to avoid breaking concentration.	2
Dazzle	The character blasts a blinding light into the face of their foe.	Illusion	Illumination, Rank 2	Standard	None	Instant	20	5	The character makes an Ego check against an enemy in their line of sight and compares that against the target's Vigilance defense. If the attack is a success, the enemy is blinded for 1 turn. On a Fantastic success, it also inflicts regular damage.Alternatively, the character can blind the victim with darkness.	2
Deafen	The character slaps silence into the target's ears.	Illusion	Illumination, Rank 2	Standard	None	Instant	20	5	The character makes an Ego check against an enemy in their line of sight and compares that against the target's Vigilance defense. If the attack is a success, the enemy is deafened for one turn. On a Fantastic success, italso inflicts regular damage.	2
Discipline 2	The character is more in touch with their power than ever.	None	Discipline 1, Rank 2	None	None	Instant	None	0	The character adds +2 to their Ego damage multiplier,and they gain a +2 bonus to Ego checks other than attacks.	2
